,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_Category,Duration_h
5726,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,,7408.0,Medium,8.0h
5727,SpiceJet,27/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257.0,Short-haul,2.6666666666666665h
5730,Air India,18/06/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No info,3100.0,Short-haul,1.25h
5731,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,18:25,10h 25m,1 stop,No info,26890.0,Long-haul,10.416666666666666h
5732,Jet Airways,24/06/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,No info,8016.0,Short-haul,3.0h
5733,Air India,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,20:30,20:25 25 Mar,23h 55m,1 stop,No info,12173.0,Extreme duration,23.916666666666668h
5734,IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,21:00,16h 5m,1 stop,No info,8784.0,Long-haul,16.083333333333332h
5735,IndiGo,9/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,5298.0,Medium,5.333333333333333h
5736,Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,09:30 13 Mar,24h 35m,1 stop,In-flight meal not included,11087.0,Extreme duration,24.583333333333332h
5739,Jet Airways,18/03/2019,Mumbai,Hyderabad,BOM → HYD,15:50,17:20,1h 30m,non-stop,In-flight meal not included,2228.0,Short-haul,1.5h
5740,SpiceJet,6/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543.0,Short-haul,2.3333333333333335h
5741,IndiGo,21/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 22 May,5h 15m,1 stop,No info,7228.0,Medium,5.25h
5742,IndiGo,15/04/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6287.0,Medium,7.083333333333333h
5743,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 28 Jun,12h 30m,1 stop,No info,13377.0,Long-haul,12.5h
5744,IndiGo,3/03/2019,Kolkata,Banglore,CCU → BLR,17:15,20:00,2h 45m,non-stop,No info,6985.0,Short-haul,2.75h
5745,Air India,3/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372.0,Medium,6.25h
5747,Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,No info,11507.0,Short-haul,3.25h
5749,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:30 04 Jun,7h 40m,2 stops,No info,18275.0,Medium,7.666666666666667h
5750,IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,6093.0,Long-haul,13.5h
5752,IndiGo,18/05/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,4804.0,Short-haul,2.5833333333333335h
5753,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,19:10 02 May,22h 45m,1 stop,In-flight meal not included,9314.0,Extreme duration,22.75h
5755,Jet Airways,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,13029.0,Long-haul,13.5h
5756,SpiceJet,3/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841.0,Short-haul,2.5h
5757,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,13:15,5h 15m,1 stop,No info,12284.0,Medium,5.25h
5759,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,22:35,16h 5m,1 stop,In-flight meal not included,7064.0,Long-haul,16.083333333333332h
5760,Jet Airways,18/05/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,In-flight meal not included,5198.0,Short-haul,3.0h
5761,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,No info,14781.0,Medium,9.833333333333334h
5763,Air India,1/06/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6094.0,Short-haul,2.8333333333333335h
5764,IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,5298.0,Medium,5.333333333333333h
5765,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,7408.0,Long-haul,11.0h
5766,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 13 May,14h 50m,1 stop,,14388.0,Long-haul,14.833333333333334h
5767,Air India,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 25 Jun,23h 30m,2 stops,No info,9443.0,Extreme duration,23.5h
5768,Air India,3/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,07:05,19:15 04 Mar,36h 10m,2 stops,No info,11762.0,Extreme duration,36.166666666666664h
5770,IndiGo,15/03/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,5406.0,Short-haul,3.25h
5771,Jet Airways,12/06/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,No info,9564.0,Short-haul,3.25h
5772,Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,In-flight meal not included,10368.0,Medium,9.333333333333334h
5773,IndiGo,9/05/2019,Delhi,Cochin,DEL → MAA → COK,07:15,12:30,5h 15m,1 stop,No info,5636.0,Medium,5.25h
5774,SpiceJet,9/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 10 May,1h 30m,non-stop,No check-in baggage included,1965.0,Short-haul,1.5h
5775,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 13 Jun,7h 30m,1 stop,No info,12739.0,Medium,7.5h
5776,IndiGo,12/03/2019,Kolkata,Banglore,CCU → BLR,14:20,16:55,2h 35m,non-stop,No info,4148.0,Short-haul,2.5833333333333335h
5777,IndiGo,9/05/2019,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,14h 20m,1 stop,No info,7191.0,Long-haul,14.333333333333334h
5778,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,04:25 07 Jun,21h 20m,1 stop,In-flight meal not included,10262.0,Extreme duration,21.333333333333332h
5779,Vistara,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,09:55,20:25,10h 30m,1 stop,No info,12312.0,Long-haul,10.5h
5780,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,19:00 04 Jun,24h 45m,1 stop,In-flight meal not included,10262.0,Extreme duration,24.75h
5781,Jet Airways,15/06/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,No info,9564.0,Short-haul,3.25h
5783,Vistara,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,20:20 07 May,27h 20m,1 stop,No info,8610.0,Extreme duration,27.333333333333332h
5784,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,No info,14714.0,Medium,6.0h
5785,IndiGo,3/06/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,4823.0,Short-haul,2.8333333333333335h
5787,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,No info,11507.0,Medium,5.0h
5788,Jet Airways,1/06/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202.0,Short-haul,3.25h
5789,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,23:30,02:20 22 Mar,2h 50m,non-stop,No info,4944.0,Short-haul,2.8333333333333335h
5790,SpiceJet,1/06/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3625.0,Short-haul,2.6666666666666665h
5793,SpiceJet,1/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2437.0,Short-haul,1.5h
5796,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,15:15,6h 20m,1 stop,No info,19225.0,Medium,6.333333333333333h
5797,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 19 May,5h 35m,1 stop,No info,15554.0,Medium,5.583333333333333h
5798,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,12h 30m,1 stop,No info,12121.0,Long-haul,12.5h
5799,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,3943.0,Short-haul,2.8333333333333335h
5801,IndiGo,21/06/2019,Banglore,Delhi,BLR → DEL,18:15,21:20,3h 5m,non-stop,No info,4990.0,Short-haul,3.0833333333333335h
5802,Air India,6/03/2019,Delhi,Cochin,DEL → BLR → COK,20:30,23:00 07 Mar,26h 30m,1 stop,No info,8854.0,Extreme duration,26.5h
5803,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1 stop,No info,7878.0,Medium,9.0h
5804,Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,8028.0,Short-haul,2.75h
5805,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 10 May,13h 20m,1 stop,In-flight meal not included,8586.0,Long-haul,13.333333333333334h
5807,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,15:15,8h 15m,1 stop,,12284.0,Medium,8.25h
5808,Jet Airways,21/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included,4995.0,Short-haul,1.4166666666666667h
5810,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05 22 May,20h,1 stop,In-flight meal not included,9663.0,Extreme duration,20.0h
5811,Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,07:00,05:25 02 May,22h 25m,2 stops,No info,14424.0,Extreme duration,22.416666666666668h
5812,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,14714.0,Medium,9.0h
5813,Air India,24/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3100.0,Short-haul,1.5h
5814,IndiGo,6/06/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:25,5h 20m,1 stop,No info,6493.0,Medium,5.333333333333333h
5815,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,23:35,17h 5m,1 stop,No info,14571.0,Extreme duration,17.083333333333332h
5817,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,04:25 04 Jun,13h 25m,1 stop,No info,14714.0,Long-haul,13.416666666666666h
5818,SpiceJet,18/05/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543.0,Short-haul,2.25h
5819,Air Asia,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,19:25,11h 50m,1 stop,No info,6810.0,Long-haul,11.833333333333334h
5820,SpiceJet,24/03/2019,Kolkata,Banglore,CCU → BLR,09:00,11:30,2h 30m,non-stop,No check-in baggage included,5201.0,Short-haul,2.5h
5821,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 25 Jun,8h,1 stop,No info,13377.0,Medium,8.0h
5822,IndiGo,9/04/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,6093.0,Long-haul,13.5h
5823,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,01:30 13 Jun,13h 55m,3 stops,No info,15419.0,Long-haul,13.916666666666666h
5824,Air India,21/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,16:50,13:45 22 May,20h 55m,2 stops,No info,13484.0,Extreme duration,20.916666666666668h
5825,Air India,18/05/2019,Delhi,Cochin,DEL → BOM → COK,21:00,07:40 19 May,10h 40m,1 stop,,8372.0,Long-haul,10.666666666666666h
5827,Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,11507.0,Short-haul,3.0h
5828,Jet Airways,24/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,04:25 25 Jun,18h 50m,2 stops,No info,13292.0,Extreme duration,18.833333333333332h
5829,Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 25 Jun,22h 55m,2 stops,No info,13014.0,Extreme duration,22.916666666666668h
5830,Air India,9/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,16754.0,Long-haul,11.25h
5832,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 28 May,20h 10m,1 stop,No info,16079.0,Extreme duration,20.166666666666668h
5835,IndiGo,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,19:35,00:35 02 Mar,5h,1 stop,No info,5054.0,Medium,5.0h
5837,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:45 25 Mar,7h 35m,1 stop,No info,13759.0,Medium,7.583333333333333h
5839,Air India,21/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,13:45 22 May,28h 20m,2 stops,No info,11542.0,Extreme duration,28.333333333333332h
5840,Jet Airways,9/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 10 Jun,21h 40m,2 stops,No info,13376.0,Extreme duration,21.666666666666668h
5841,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,10:25 02 Mar,22h 45m,1 stop,No info,25735.0,Extreme duration,22.75h
5843,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,In-flight meal not included,10844.0,Medium,7.083333333333333h
5844,Air India,3/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,07:40 04 Jun,12h 40m,1 stop,No info,8372.0,Long-haul,12.666666666666666h
5845,IndiGo,15/06/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,,3858.0,Short-haul,2.4166666666666665h
5846,IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,5694.0,Short-haul,2.75h
5847,Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,18:50 04 Mar,24h 35m,1 stop,No info,17234.0,Extreme duration,24.583333333333332h
5848,Jet Airways,9/04/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Apr,19h,2 stops,No info,11546.0,Extreme duration,19.0h
5849,Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,8028.0,Short-haul,2.6666666666666665h
5851,Air India,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:30,20:25 25 May,23h 55m,1 stop,No info,10413.0,Extreme duration,23.916666666666668h
5852,Air India,12/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,11:05,22:10,11h 5m,2 stops,No info,11948.0,Long-haul,11.083333333333334h
5853,Jet Airways,1/04/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,3205.0,Short-haul,1.5h
5854,IndiGo,18/05/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,4423.0,Short-haul,2.8333333333333335h
5855,Vistara,24/03/2019,Banglore,New Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4878.0,Short-haul,2.6666666666666665h
5857,Air India,12/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,08:55 13 May,27h 5m,2 stops,No info,11411.0,Extreme duration,27.083333333333332h
5858,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,21:00,14h,1 stop,No info,7618.0,Long-haul,14.0h
5859,Jet Airways,12/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229.0,Short-haul,2.9166666666666665h
5860,IndiGo,27/06/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,6147.0,Short-haul,4.833333333333333h
5862,IndiGo,21/03/2019,Delhi,Cochin,DEL → AMD → COK,07:45,13:40,5h 55m,1 stop,No info,6101.0,Medium,5.916666666666667h
5863,Air India,21/05/2019,Kolkata,Banglore,CCU → BOM → GOI → BLR,16:50,05:35 22 May,12h 45m,2 stops,No info,12324.0,Long-haul,12.75h
5864,Vistara,01/03/2019,Banglore,New Delhi,BLR → AMD → DEL,06:40,21:55,15h 15m,1 stop,No info,18387.0,Long-haul,15.25h
5867,Jet Airways,21/04/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,No info,7229.0,Short-haul,3.0h
5869,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,15:15,01:35 22 Mar,10h 20m,1 stop,No info,7695.0,Long-haul,10.333333333333334h
5870,Air India,18/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,08:55 19 May,27h 5m,2 stops,No info,12723.0,Extreme duration,27.083333333333332h
5871,SpiceJet,15/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,2175.0,Short-haul,1.5h
5872,IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,09:15,01:30 28 May,16h 15m,1 stop,No info,6628.0,Long-haul,16.25h
5873,Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 13 Jun,13h 50m,2 stops,No info,13376.0,Long-haul,13.833333333333334h
5874,IndiGo,27/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,non-stop,No info,4148.0,Short-haul,2.5833333333333335h
5875,Jet Airways,27/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,04:25 28 Mar,23h,2 stops,In-flight meal not included,9254.0,Extreme duration,23.0h
5877,Jet Airways,1/05/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,4030.0,Short-haul,3.0h
5878,Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,5198.0,Short-haul,3.0h
5880,Air India,1/03/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,10082.0,Short-haul,1.5h
5881,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05 19 May,20h,1 stop,In-flight meal not included,9663.0,Extreme duration,20.0h
5883,IndiGo,15/03/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,6297.0,Short-haul,2.3333333333333335h
5884,SpiceJet,9/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3573.0,Short-haul,2.6666666666666665h
5886,IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,5054.0,Short-haul,2.75h
5887,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,21:20,7h 15m,1 stop,No info,19225.0,Medium,7.25h
5888,IndiGo,12/03/2019,Chennai,Kolkata,MAA → CCU,22:05,00:30 13 Mar,2h 25m,non-stop,No info,6297.0,Short-haul,2.4166666666666665h
5889,SpiceJet,6/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 07 Mar,2h 20m,non-stop,No info,3849.0,Short-haul,2.3333333333333335h
5890,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,15:30,7h 30m,1 stop,No info,15078.0,Medium,7.5h
5891,IndiGo,12/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4h 25m,1 stop,No info,4205.0,Short-haul,4.416666666666667h
5892,Air India,27/05/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,5228.0,Short-haul,2.8333333333333335h
5893,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,21:00,14h,1 stop,No info,7408.0,Long-haul,14.0h
5894,Jet Airways,9/06/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,7229.0,Short-haul,2.9166666666666665h
5895,Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 16 Jun,13h 50m,2 stops,In-flight meal not included,10919.0,Long-haul,13.833333333333334h
5896,Jet Airways,1/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,4544.0,Short-haul,2.9166666666666665h
5897,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 22 Mar,20h 25m,1 stop,In-flight meal not included,6540.0,Extreme duration,20.416666666666668h
5898,Jet Airways,21/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,18:50 22 Mar,23h 40m,2 stops,No info,9483.0,Extreme duration,23.666666666666668h
5899,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,16079.0,Medium,9.0h
5900,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,01:30 02 Jun,7h 15m,1 stop,No info,13377.0,Medium,7.25h
5901,IndiGo,3/06/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823.0,Short-haul,2.9166666666666665h
5903,GoAir,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 10 May,8h 15m,1 stop,No info,5003.5,Medium,8.25h
5904,Air India,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,12029.0,Medium,9.25h
5906,IndiGo,27/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419.0,Short-haul,2.75h
5907,IndiGo,1/04/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,3943.0,Short-haul,2.8333333333333335h
5908,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,14:00,01:35 22 Mar,11h 35m,1 stop,No info,13542.0,Long-haul,11.583333333333334h
5909,Air India,27/06/2019,Delhi,Cochin,DEL → BLR → COK,17:40,23:00,5h 20m,1 stop,No info,7174.0,Medium,5.333333333333333h
5910,IndiGo,9/03/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:35,1h 25m,non-stop,No info,7417.0,Short-haul,1.4166666666666667h
5912,Air India,18/03/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4435.0,Short-haul,2.5833333333333335h
5915,IndiGo,21/04/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4804.0,Short-haul,2.5833333333333335h
5916,Air Asia,27/05/2019,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No info,3383.0,Short-haul,2.8333333333333335h
5917,IndiGo,24/05/2019,Kolkata,Banglore,CCU → GAU → BLR,15:10,20:30,5h 20m,1 stop,No info,6991.0,Medium,5.333333333333333h
5918,Air India,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 10 May,38h 15m,2 stops,No info,10441.0,Extreme duration,38.25h
5921,Air India,24/05/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 25 May,12h 45m,1 stop,No info,7480.0,Long-haul,12.75h
5922,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,12:35 10 Jun,25h 5m,1 stop,In-flight meal not included,10262.0,Extreme duration,25.083333333333332h
5923,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,11:25 13 Mar,12h 30m,1 stop,No info,13817.0,Long-haul,12.5h
5924,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,No info,13067.0,Medium,9.583333333333334h
5927,Air India,12/03/2019,Mumbai,Hyderabad,BOM → GOI → PNQ → HYD,05:05,16:55,11h 50m,2 stops,No info,16172.0,Long-haul,11.833333333333334h
5928,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,In-flight meal not included,7268.0,Medium,6.416666666666667h
5929,Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,12:15,5h 15m,1 stop,No info,17524.0,Medium,5.25h
5930,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,18:00,01:30 22 May,7h 30m,1 stop,No info,7888.0,Medium,7.5h
5931,IndiGo,6/06/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754.0,Short-haul,1.5h
5932,Air India,03/03/2019,Banglore,New Delhi,BLR → HBX → BOM → AMD → DEL,12:00,23:55,11h 55m,3 stops,No info,10573.0,Long-haul,11.916666666666666h
5933,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,No info,11789.0,Medium,7.333333333333333h
5934,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,19:10 07 May,22h 45m,1 stop,No info,13067.0,Extreme duration,22.75h
5935,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,non-stop,No info,4238.0,Short-haul,2.75h
5936,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,9794.0,Long-haul,11.5h
5937,Air India,21/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25 22 Mar,26h 20m,2 stops,No info,7615.0,Extreme duration,26.333333333333332h
5938,Jet Airways,21/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,10:20,04:25 23 Mar,42h 5m,2 stops,No info,11664.0,Extreme duration,42.083333333333336h
5939,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,In-flight meal not included,7064.0,Long-haul,13.333333333333334h
5940,IndiGo,15/04/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4h 25m,1 stop,No info,3809.0,Short-haul,4.416666666666667h
5941,SpiceJet,18/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841.0,Short-haul,2.5h
5943,IndiGo,24/04/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,4565.0,Short-haul,4.833333333333333h
5944,IndiGo,9/03/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:35 10 Mar,7h,1 stop,No info,12351.0,Medium,7.0h
5945,IndiGo,18/03/2019,Delhi,Cochin,DEL → COK,21:05,00:20 19 Mar,3h 15m,non-stop,,5021.0,Short-haul,3.25h
5946,Air India,21/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:05,09:25 22 May,20h 20m,2 stops,No info,10467.0,Extreme duration,20.333333333333332h
