,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_Category
4157,Jet Airways,21/04/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,7229.0,Short-haul
4158,IndiGo,15/03/2019,Banglore,New Delhi,BLR → HYD → DEL,07:30,12:20,4h 50m,1 stop,No info,6114.0,Short-haul
4159,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:15,7h 45m,1 stop,No info,14848.0,Medium
4160,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,15:30,10h 45m,1 stop,No info,13611.0,Long-haul
4161,Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,No info,8016.0,Short-haul
4162,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No info,14571.0,Medium
4164,IndiGo,21/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,11:50,6h 55m,1 stop,No info,6794.0,Medium
4165,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:55,04:25 28 Mar,18h 30m,1 stop,In-flight meal not included,6540.0,Extreme duration
4166,Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,11:30,14:10,2h 40m,non-stop,No info,7240.0,Short-haul
4167,Air India,15/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25 16 Jun,20h 10m,2 stops,No info,8839.0,Extreme duration
4168,SpiceJet,6/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873.0,Short-haul
4170,Air India,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,7199.0,Long-haul
4171,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12898.0,Medium
4172,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,,12524.0,Long-haul
4174,Jet Airways,15/03/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,8040.0,Short-haul
4175,GoAir,3/04/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:35,9h,1 stop,No info,5135.0,Medium
4176,Air India,09/03/2019,Banglore,New Delhi,BLR → HYD → DEL,06:50,23:10,16h 20m,1 stop,No info,5626.0,Long-haul
4177,Air India,6/03/2019,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,15809.0,Long-haul
4178,IndiGo,27/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6412.0,Medium
4179,Jet Airways,1/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,No info,18804.0,Medium
4180,IndiGo,1/04/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227.0,Short-haul
4181,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:20,15h 15m,1 stop,No info,6916.0,Long-haul
4183,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,No info,14388.0,Medium
4184,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:35 28 Mar,9h 35m,1 stop,No info,12327.0,Medium
4185,Jet Airways,3/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 04 Jun,8h 55m,2 stops,No info,13014.0,Medium
4186,Vistara,15/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403.0,Short-haul
4187,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,08:40,21:00,12h 20m,1 stop,No info,18228.0,Long-haul
4188,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,19:50 07 Jun,23h 50m,1 stop,In-flight meal not included,10844.0,Extreme duration
4189,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 07 Mar,16h 55m,1 stop,In-flight meal not included,13843.0,Long-haul
4190,SpiceJet,01/03/2019,Banglore,New Delhi,BLR → DEL,09:35,12:30,2h 55m,non-stop,No info,11690.0,Short-haul
4191,Vistara,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:05 02 May,16h 5m,1 stop,No info,8452.0,Long-haul
4194,Jet Airways,15/06/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,5678.0,Short-haul
4195,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45 13 May,13h 20m,1 stop,No info,14151.0,Long-haul
4196,Jet Airways,21/04/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,4544.0,Short-haul
4197,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 13 Jun,28h 50m,1 stop,No info,12692.0,Extreme duration
4198,Jet Airways,9/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,13:45,04:25 10 Mar,14h 40m,2 stops,No info,17019.0,Long-haul
4199,IndiGo,3/03/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,6565.0,Short-haul
4200,GoAir,27/03/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:50,5h 50m,1 stop,No info,5281.0,Medium
4203,Air India,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 28 Jun,23h 30m,2 stops,No info,9653.0,Extreme duration
4204,Air India,6/03/2019,Delhi,Cochin,DEL → BOM → COK,23:00,07:40 07 Mar,8h 40m,1 stop,No info,9443.0,Medium
4205,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,19:15,14h 20m,1 stop,No info,7155.0,Long-haul
4208,IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,12:00,5h 20m,1 stop,No info,9304.0,Medium
4211,Air India,15/06/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,5228.0,Short-haul
4212,SpiceJet,24/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,,3597.0,Short-haul
4213,SpiceJet,3/04/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 04 Apr,2h 55m,non-stop,No info,3971.0,Short-haul
4214,Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,13727.0,Medium
4216,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,19:00 04 Jun,23h 45m,1 stop,In-flight meal not included,10262.0,Extreme duration
4218,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 02 Jun,8h 40m,1 stop,No info,14714.0,Medium
4219,Jet Airways,21/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,18:50 22 Mar,23h 40m,2 stops,In-flight meal not included,8834.0,Extreme duration
4220,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,12:35,7h 50m,1 stop,No info,9838.0,Medium
4221,IndiGo,18/05/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,4775.0,Short-haul
4222,IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823.0,Short-haul
4223,Air India,15/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,12:30 16 May,30h 40m,2 stops,No info,9443.0,Extreme duration
4224,IndiGo,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 16 Jun,14h 55m,1 stop,No info,5883.0,Long-haul
4225,Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,20:20 25 May,27h 20m,1 stop,No info,9870.0,Extreme duration
4226,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 04 Jun,23h 35m,1 stop,In-flight meal not included,10262.0,Extreme duration
4228,Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,16:50,13:45 16 May,20h 55m,2 stops,No info,15532.0,Extreme duration
4229,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 07 Jun,20h 10m,1 stop,No info,14714.0,Extreme duration
4230,Vistara,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,10:45 19 May,14h 25m,1 stop,No info,9187.0,Long-haul
4231,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → HYD → COK,14:55,22:30,7h 35m,1 stop,No info,7038.0,Medium
4232,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,,13587.0,Medium
4233,Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,8016.0,Short-haul
4234,IndiGo,6/06/2019,Mumbai,Hyderabad,BOM → HYD,09:15,10:45,1h 30m,non-stop,No info,4049.0,Short-haul
4235,Jet Airways,6/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,No info,9536.0,Short-haul
4236,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No info,14571.0,Medium
4237,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,15812.0,Medium
4238,Air Asia,6/06/2019,Delhi,Cochin,DEL → BLR → COK,07:55,22:25,14h 30m,1 stop,No info,8759.0,Long-haul
4239,Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,21:50,9h 50m,2 stops,No info,10151.0,Medium
4240,IndiGo,15/05/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4804.0,Short-haul
4241,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 25 Jun,8h,1 stop,No info,6104.0,Medium
4242,Air India,6/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,5510.0,Short-haul
4244,SpiceJet,21/05/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,4174.0,Short-haul
4245,IndiGo,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 22 May,14h 55m,1 stop,No info,6794.0,Long-haul
4246,Air India,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,07:40 07 Mar,25h 45m,2 stops,No info,15428.0,Extreme duration
4248,IndiGo,21/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 22 May,10h 30m,1 stop,No info,6896.0,Long-haul
4251,Air India,9/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,08:55 10 May,16h 10m,2 stops,No info,13227.0,Long-haul
4254,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 07 Jun,7h 30m,1 stop,In-flight meal not included,7757.0,Medium
4255,IndiGo,12/05/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754.0,Short-haul
4257,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,No info,14781.0,Medium
4258,IndiGo,15/04/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,2h 55m,non-stop,No info,4284.0,Short-haul
4259,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,21:00,12h 15m,1 stop,No info,7740.0,Long-haul
4260,IndiGo,15/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419.0,Short-haul
4262,Air India,9/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,08:55 10 Jun,27h 5m,2 stops,No info,12723.0,Extreme duration
4263,Jet Airways,12/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,08:10,04:25 13 Jun,20h 15m,2 stops,No info,11507.0,Extreme duration
4264,Air India,3/05/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,6121.0,Short-haul
4265,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:45,11h 45m,1 stop,No info,17549.0,Long-haul
4266,SpiceJet,27/03/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:10 28 Mar,1h 25m,non-stop,No info,1759.0,Short-haul
4267,IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,4423.0,Short-haul
4269,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,12402.0,Long-haul
4271,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,22:35 02 Apr,26h 35m,1 stop,No info,12681.0,Extreme duration
4272,Air India,1/04/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 02 Apr,23h 40m,1 stop,,5117.0,Extreme duration
4273,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 22 May,23h 35m,1 stop,In-flight meal not included,12898.0,Extreme duration
4274,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,08:15 07 May,25h 45m,1 stop,No info,13941.0,Extreme duration
4275,Jet Airways,21/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030.0,Short-haul
4276,IndiGo,1/03/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1h 25m,non-stop,No info,17501.0,Short-haul
4277,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,09:20 13 Jun,19h 15m,1 stop,In-flight meal not included,8529.0,Extreme duration
4278,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 16 May,15h 30m,1 stop,No info,8073.0,Long-haul
4279,Air India,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,19:15 10 May,24h 30m,2 stops,No info,11942.0,Extreme duration
4280,Jet Airways,21/03/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,18:50,13h 20m,2 stops,No info,11702.0,Long-haul
4281,IndiGo,3/06/2019,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,7h 35m,1 stop,No info,6442.0,Medium
4282,IndiGo,24/06/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,5054.0,Short-haul
4283,IndiGo,1/04/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,4823.0,Short-haul
4285,Air India,9/06/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,18:30 10 Jun,30h 30m,2 stops,No info,10151.0,Extreme duration
4286,Air India,21/06/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,5201.0,Short-haul
4287,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,No info,13067.0,Medium
4288,IndiGo,24/03/2019,Mumbai,Hyderabad,BOM → HYD,02:30,04:00,1h 30m,non-stop,No info,2754.0,Short-haul
4289,Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,8366.0,Long-haul
4290,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,19:50 22 May,24h 55m,1 stop,In-flight meal not included,10844.0,Extreme duration
4291,Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878.0,Short-haul
4293,Jet Airways,15/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,04:25 16 Jun,22h 55m,2 stops,No info,11507.0,Extreme duration
4294,IndiGo,12/06/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,4804.0,Short-haul
4295,Air India,12/06/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,5201.0,Short-haul
4296,Jet Airways,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 02 Jun,8h 55m,2 stops,In-flight meal not included,10368.0,Medium
4297,Vistara,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,18:50 07 Jun,22h 30m,1 stop,No info,8820.0,Extreme duration
4298,Jet Airways,18/03/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4160.0,Short-haul
4299,Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,18:30,9h 5m,1 stop,No info,8891.0,Medium
4300,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,14:25 07 Jun,21h 25m,1 stop,In-flight meal not included,10539.0,Extreme duration
4301,SpiceJet,1/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3971.0,Short-haul
4302,IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,6093.0,Long-haul
4303,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,8266.0,Medium
4304,Air India,18/05/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 19 May,20h 55m,1 stop,No info,7480.0,Extreme duration
4306,Air India,12/06/2019,Delhi,Cochin,DEL → BLR → COK,20:30,23:00 13 Jun,26h 30m,1 stop,No info,8907.0,Extreme duration
4307,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,11789.0,Long-haul
4308,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,18:50,7h 20m,1 stop,No info,15135.0,Medium
4309,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:15,10h 45m,1 stop,No info,7887.0,Long-haul
4310,IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6818.0,Medium
4311,IndiGo,9/03/2019,Chennai,Kolkata,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,6482.0,Short-haul
4313,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,04:45 25 Mar,20h 20m,1 stop,No info,11507.0,Extreme duration
4314,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,In-flight meal not included,10262.0,Long-haul
4315,Jet Airways,9/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 10 Jun,13h 50m,2 stops,No info,13376.0,Long-haul
4316,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,10197.0,Medium
4317,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,7997.0,Medium
4319,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,In-flight meal not included,12373.0,Medium
4320,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,01:30 10 Jun,12h 40m,1 stop,No info,6795.0,Long-haul
4322,Air India,24/03/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,2575.0,Short-haul
4323,Air India,24/05/2019,Kolkata,Banglore,CCU → GAU → BLR,09:50,21:05,11h 15m,1 stop,No info,7662.0,Long-haul
4325,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,10844.0,Long-haul
4326,IndiGo,6/06/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540.0,Short-haul
4327,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:35 04 Mar,15h 35m,1 stop,No info,16863.0,Long-haul
4328,Air India,3/05/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,6121.0,Short-haul
4329,IndiGo,09/03/2019,Banglore,New Delhi,BLR → MAA → DEL,06:25,11:30,5h 5m,1 stop,No info,8434.0,Medium
4330,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,No info,14151.0,Medium
4331,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,12:35,7h 5m,2 stops,No info,14441.0,Medium
4332,GoAir,1/06/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,,3898.0,Short-haul
4333,Jet Airways,9/04/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 10 Apr,13h 30m,2 stops,No info,9483.0,Long-haul
4334,Air Asia,12/04/2019,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No info,4282.0,Short-haul
4336,Jet Airways,6/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25 08 Mar,33h 15m,2 stops,No info,16809.0,Extreme duration
4337,Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,12:35 10 May,23h 10m,2 stops,No info,16704.0,Extreme duration
4338,GoAir,24/06/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,3898.0,Short-haul
4340,IndiGo,27/05/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5224.0,Short-haul
4341,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823.0,Short-haul
4342,IndiGo,3/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,15:30,10h 45m,1 stop,No info,14871.0,Long-haul
4344,IndiGo,3/05/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,5224.0,Short-haul
4346,IndiGo,27/06/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754.0,Short-haul
4347,IndiGo,1/06/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,1h 35m,non-stop,No info,2227.0,Short-haul
4350,Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,22:40,15h 30m,1 stop,No info,9397.0,Long-haul
4351,Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,10:45 13 Jun,27h 35m,1 stop,No info,8452.0,Extreme duration
4352,IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 04 Apr,2h 50m,non-stop,,4591.0,Short-haul
4353,IndiGo,1/04/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 02 Apr,5h 15m,1 stop,No info,5930.0,Medium
4354,Air India,6/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,20:25,14h 35m,2 stops,No info,10991.0,Long-haul
4355,SpiceJet,3/03/2019,Kolkata,Banglore,CCU → BLR,06:55,09:35,2h 40m,non-stop,No info,4622.0,Short-haul
4356,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,No info,14714.0,Medium
4357,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,4823.0,Short-haul
4359,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,In-flight meal not included,10703.0,Medium
4360,Vistara,3/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,8028.0,Short-haul
4361,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,18:10,11h 40m,1 stop,No info,13759.0,Long-haul
4362,IndiGo,12/06/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,3943.0,Short-haul
4363,IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,non-stop,No info,4944.0,Short-haul
4364,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,In-flight meal not included,10262.0,Medium
4365,SpiceJet,6/06/2019,Kolkata,Banglore,CCU → KNU → BLR,11:35,18:50,7h 15m,1 stop,No info,8479.0,Medium
4366,IndiGo,3/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,7514.0,Medium
4367,Air India,6/05/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,6934.0,Short-haul
4369,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,In-flight meal not included,8085.0,Long-haul
4370,Vistara,9/03/2019,Delhi,Cochin,DEL → COK,06:00,09:10,3h 10m,non-stop,No info,7266.0,Short-haul
4371,IndiGo,3/06/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:25,5h 20m,1 stop,No info,6493.0,Medium
4373,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 22 May,6h 30m,1 stop,No info,7485.0,Medium
4374,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 07 Jun,15h 25m,1 stop,In-flight meal not included,10262.0,Long-haul
4375,Vistara,21/03/2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,4878.0,Short-haul
4376,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 13 Jun,6h 30m,1 stop,No info,7198.0,Medium
4377,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,09:00 07 Mar,16h 5m,1 stop,No info,17261.0,Long-haul
4380,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:15,12h 35m,1 stop,No info,8614.0,Long-haul
4381,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,19:45 28 Mar,27h 45m,1 stop,No info,12032.0,Extreme duration
4382,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,12284.0,Medium
4383,GoAir,27/05/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,3419.0,Short-haul
4384,IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:20,6h 10m,1 stop,No info,6528.0,Medium
4386,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,In-flight meal not included,9732.0,Medium
4387,IndiGo,15/04/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,5761.0,Medium
4388,Air India,6/06/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,07:00,05:25 07 Jun,22h 25m,2 stops,No info,12009.0,Extreme duration
4389,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,08:15 19 May,26h 30m,1 stop,In-flight meal not included,8586.0,Extreme duration
4390,Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,6144.0,Short-haul
4391,SpiceJet,24/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257.0,Short-haul
